Plate;Infraction ID;Fine Amount;Issuing Agency;Issue Date;County Name
HGR1819;38;35.0;TRAFFIC;2016-07-13;Bronx
FBX8481;21;45.0;TRAFFIC;2018-05-31;New York City
76757MK;47;115.0;TRAFFIC;2018-10-26;New York City
60876NC;31;115.0;TRAFFIC;2022-03-24;New York City
GND7783;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-02;Queens
28620MK;71;65.0;TRAFFIC;2022-09-28;Kings
FHP1052;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-02-18;Kings
HSJ8005;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-03-11;Kings
JKV8344;71;65.0;TRAFFIC;2021-01-18;Kings
37327MN;69;65.0;TRAFFIC;2021-07-27;New York City
3PSD19;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-13;New York City
DKW8191;20;60.0;TRAFFIC;2018-08-23;Bronx
77260MJ;21;65.0;TRAFFIC;2018-12-17;New York City
HUU4993;40;115.0;TRAFFIC;2019-05-02;Kings
CJP227;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-07-18;Queens
T785661C;5;100.0;DEPARTMENT OF TRANSPORTATION;2022-05-11;Bronx
JCZ2407;71;65.0;TRAFFIC;2021-03-05;Kings
GCG1660;20;60.0;TRAFFIC;2016-09-18;Bronx
32418PC;84;65.0;TRAFFIC;2016-04-30;New York City
HHK7279;40;115.0;TRAFFIC;2019-09-24;Kings
GZK2940;20;60.0;TRAFFIC;2019-04-09;Queens
HRC9874;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-10-20;Richmond
CXL5709;46;115.0;TRAFFIC;2023-02-04;Queens
W70PLG;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-13;New York City
J70FXS;20;65.0;TRAFFIC;2017-03-05;New York City
FAAACTS;40;115.0;TRAFFIC;2020-11-05;New York City
63FY417;21;65.0;TRAFFIC;2021-10-21;New York City
T701181C;20;60.0;TRAFFIC;2017-04-20;Bronx
JGS2981;70;65.0;TRAFFIC;2023-08-15;Queens
HRF6872;16;95.0;TRAFFIC;2022-06-17;Queens
BHT7010;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-20;Kings
89778JY;14;115.0;TRAFFIC;2018-08-14;New York City
BKU4892;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-22;Kings
2PYH16;46;115.0;TRAFFIC;2022-09-09;Kings
T681135C;7;50.0;DEPARTMENT OF TRANSPORTATION;2018-05-23;Kings
BA57391;38;65.0;TRAFFIC;2023-08-02;New York City
GSL2333;70;65.0;TRAFFIC;2016-10-02;Queens
F18NVA;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-13;Kings
T737430C;40;115.0;TRAFFIC;2018-06-29;New York City
78651MK;21;45.0;DEPARTMENT OF SANITATION;2020-02-03;New York City
KJB9101;21;65.0;TRAFFIC;2023-10-13;Kings
X44FNU;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-12-20;Bronx
T771693C;46;115.0;TRAFFIC;2020-09-16;Queens
79284MH;46;115.0;TRAFFIC;2018-10-01;New York City
KRK1484;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-29;Bronx
50835MN;42;65.0;TRAFFIC;2021-12-03;New York City
AE82474;69;65.0;TRAFFIC;2020-12-31;New York City
JEB5591;21;45.0;TRAFFIC;2019-05-07;Queens
DF1932;77;65.0;TRAFFIC;2017-06-10;New York City
10306MB;42;65.0;TRAFFIC;2017-01-31;New York City
KSC4692;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-01-07;Queens
BA42341;14;115.0;TRAFFIC;2022-04-18;New York City
HNH3199;21;45.0;TRAFFIC;2017-04-20;New York City
93826ME;47;115.0;TRAFFIC;2021-08-25;New York City
H72LPJ;14;115.0;TRAFFIC;2021-11-22;New York City
112LU;5;50.0;DEPARTMENT OF TRANSPORTATION;2023-11-17;Kings
JNB9983;37;35.0;TRAFFIC;2020-01-10;Queens
BC577C;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-09-17;New York City
HBS6910;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-22;Kings
R91NCX;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-04-23;Kings
KST5290;71;65.0;TRAFFIC;2023-03-13;Richmond
LNZ2253;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-03;Queens
HYZ1046;7;50.0;DEPARTMENT OF TRANSPORTATION;2019-06-22;Queens
31375MG;46;115.0;TRAFFIC;2020-06-24;New York City
86008JV;14;115.0;TRAFFIC;2022-06-29;Queens
